id,STUSPS,NAME,tile_name,h_min,h_max,v_min,v_max,state_area (m2)
31,WY,Wyoming,h008v006;h008v007;h008v008;h009v005;h009v006;h009v007;h009v008;h010v005;h010v006;h010v007;h010v008;h011v005;h011v006;h011v007;h011v008;h012v005;h012v006;h012v007;h012v008,8,12,5,8,253326285000.0
33,ND,North Dakota,h012v004;h013v002;h013v003;h013v004;h014v002;h014v003;h014v004;h014v005;h015v002;h015v003;h015v004;h015v005;h016v002;h016v003;h016v004;h016v005,12,16,2,5,183109166100.0
34,KY,Kentucky,h020v011;h020v012;h021v010;h021v011;h022v010;h022v011;h023v009;h023v010;h023v011;h024v009;h024v010;h024v011;h025v010;h025v011,20,25,9,12,104650776000.0
38,ME,Maine,h029v003;h030v002;h030v003;h030v004;h030v005;h031v002;h031v003;h031v004;h032v003,29,32,2,5,91633572900.0
39,NY,New York,h025v006;h025v007;h026v005;h026v006;h026v007;h027v004;h027v005;h027v006;h027v007;h028v004;h028v005;h028v006;h028v007;h029v004;h029v005;h029v006;h029v007;h030v006;h030v007,25,30,4,7,141305824800.0
40,NV,Nevada,h003v006;h003v007;h003v008;h003v009;h004v006;h004v007;h004v008;h004v009;h004v010;h005v006;h005v007;h005v008;h005v009;h005v010;h005v011;h005v012;h006v006;h006v007;h006v008;h006v009;h006v010;h006v011;h007v007;h007v008,3,7,6,12,286376942700.0
43,MI,Michigan,h019v004;h020v003;h020v004;h021v003;h021v004;h021v005;h021v006;h021v007;h022v003;h022v004;h022v005;h022v006;h022v007;h023v004;h023v005;h023v006;h023v007;h024v004;h024v005;h024v006;h024v007,19,24,3,7,250485967800.0
44,AR,Arkansas,h017v012;h018v012;h018v013;h018v014;h019v012;h019v013;h019v014;h020v012;h020v013;h020v014,17,20,12,14,137782477800.0
45,MS,Mississippi,h019v015;h019v016;h020v013;h020v014;h020v015;h020v016;h021v013;h021v014;h021v015;h021v016,19,21,13,16,125448270300.0
46,MO,Missouri,h017v009;h017v010;h017v011;h017v012;h018v009;h018v010;h018v011;h018v012;h019v009;h019v010;h019v011;h019v012;h020v009;h020v010;h020v011;h020v012;h021v011,17,21,9,12,180539949600.0
47,MT,Montana,h007v001;h007v002;h007v003;h007v004;h007v005;h008v001;h008v002;h008v003;h008v004;h008v005;h009v002;h009v003;h009v004;h009v005;h010v002;h010v003;h010v004;h010v005;h011v002;h011v003;h011v004;h011v005;h012v002;h012v003;h012v004;h012v005;h013v002;h013v003;h013v004,7,13,1,5,380840401800.0
48,KS,Kansas,h013v009;h013v010;h013v011;h014v009;h014v010;h014v011;h015v009;h015v010;h015v011;h016v009;h016v010;h016v011;h017v009;h017v010;h017v011,13,17,9,11,213099210000.0
49,IN,Indiana,h021v007;h021v008;h021v009;h021v010;h022v007;h022v008;h022v009;h022v010;h023v007;h023v008;h023v009;h023v010,21,23,7,10,94330615500.0
51,SD,South Dakota,h012v004;h012v005;h012v006;h012v007;h013v004;h013v005;h013v006;h013v007;h014v004;h014v005;h014v006;h014v007;h015v005;h015v006;h015v007;h016v005;h016v006;h016v007,12,16,4,7,199729121400.0
52,MA,Massachusetts,h029v005;h029v006;h030v005;h030v006;h031v006,29,31,5,6,27335086200.0
53,VA,Virginia,h024v011;h025v010;h025v011;h026v009;h026v010;h026v011;h027v008;h027v009;h027v010;h027v011;h028v009;h028v010;h028v011;h029v009,24,29,8,11,110786231700.0
54,DC,District of Columbia,h027v009,27,27,9,9,177008400.0
55,IA,Iowa,h016v006;h016v007;h016v008;h017v006;h017v007;h017v008;h017v009;h018v006;h018v007;h018v008;h018v009;h019v006;h019v007;h019v008;h019v009;h020v007;h020v008,16,20,6,9,145745664300.0
56,AZ,Arizona,h005v011;h005v012;h005v013;h005v014;h006v010;h006v011;h006v012;h006v013;h006v014;h007v010;h007v011;h007v012;h007v013;h007v014;h007v015;h008v011;h008v012;h008v013;h008v014;h008v015;h009v011;h009v012;h009v013;h009v014,5,9,10,15,295220145600.0
